  EVENTID,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,DEPFIX,AUTHOR   ,TYPE  ,MAG ,,,
789514,ISC      ,26-12-1970,02:48.5,9.2655,93.9063,35,TRUE  ,ISC      ,mb    ,5.3,,,
789515,ISC      ,26-12-1970,15:50.7,9.2215,93.9721,35,TRUE  ,ISC      ,mb    ,4.8,,,
789541,ISC      ,27-12-1970,50:29.8,9.2742,94.0477,22,TRUE  ,ISC      ,mb    ,4.7,,,
789633,ISC      ,29-12-1970,56:16.1,-7.6556,108.0461,95.9,      ,ISC      ,mb    ,5.2,,,
789656,ISC      ,30-12-1970,11:11.2,1.431,99.0618,90.8,      ,ISC      ,mb    ,5.4,,,
788571,ISC      ,26-01-1971,44:48.4,6.1163,94.9312,81,TRUE  ,ISC      ,mb    ,5.2,,,
788636,ISC      ,27-01-1971,28:22.2,1.8469,99.0965,119.2,      ,ISC      ,mb    ,5.3,,,
786889,ISC      ,04-02-1971,33:29.6,0.567,98.7275,33.2,      ,ISC      ,mb    ,6.3,ISC      ,MS    ,7.1
786945,ISC      ,06-02-1971,26:20.6,-6.9486,107.3179,120,TRUE  ,ISC      ,mb    ,4.6,,,
787306,ISC      ,11-02-1971,38:46.9,-4.4257,102.3403,26.8,      ,ISC      ,mb    ,5,,,
787464,ISC      ,17-02-1971,05:09.9,0.5426,98.7734,72.7,      ,ISC      ,mb    ,5.2,,,
787466,ISC      ,17-02-1971,21:38.2,-9.8168,108.2968,27,TRUE  ,ISC      ,mb    ,4.7,,,
787520,ISC      ,19-02-1971,25:37.5,-5.8709,105.4006,26,TRUE  ,ISC      ,mb    ,5.2,,,
787713,ISC      ,25-02-1971,14:20.2,3.1911,95.867,40.2,      ,ISC      ,mb    ,5.3,ISC      ,MS    ,5.5
786153,ISC      ,04-03-1971,29:35.3,0.6915,98.7001,65,TRUE  ,ISC      ,mb    ,5.2,,,
786290,ISC      ,11-03-1971,40:25.2,-7.8631,107.9747,70,TRUE  ,ISC      ,mb    ,4.8,,,
786458,ISC      ,18-03-1971,25:28.1,-7.1197,106.0341,63,TRUE  ,ISC      ,mb    ,5.2,,,
786745,ISC      ,30-03-1971,36:33.6,3.2572,96.3153,20,      ,ISC      ,mb    ,5.2,,,
785232,ISC      ,02-04-1971,16:05.9,3.128,96.2737,16.7,      ,ISC      ,mb    ,5.1,,,
785277,ISC      ,03-04-1971,34:20.3,-8.1132,109.9862,123,      ,ISC      ,mb    ,4.8,,,
785421,ISC      ,07-04-1971,29:45.4,-6.0506,104.2021,49,TRUE  ,ISC      ,mb    ,5.5,,,
785445,ISC      ,08-04-1971,45:58.6,-4.346,102.2394,71.2,      ,ISC      ,mb    ,6.5,,,
785458,ISC      ,08-04-1971,27:12.9,-4.3913,102.2045,37,TRUE  ,ISC      ,mb    ,5.4,,,
785590,ISC      ,13-04-1971,38:47.7,-0.0399,96.6814,32,TRUE  ,ISC      ,mb    ,5.1,,,
784056,ISC      ,04-05-1971,04:33.3,-6.6056,105.3776,52.5,      ,ISC      ,mb    ,6,ISC      ,MS    ,6.3
784159,ISC      ,07-05-1971,29:58.9,-4.5838,102.3231,34.3,      ,ISC      ,mb    ,5.6,,,
784458,ISC      ,14-05-1971,56:41.4,-6.497,107.013,35,TRUE  ,ISC      ,mb    ,5,,,
785179,ISC      ,31-05-1971,11:12.4,2.5917,96.4314,30,TRUE  ,ISC      ,mb    ,5.3,,,
783108,ISC      ,02-06-1971,35:36.6,2.5812,96.4972,30,TRUE  ,ISC      ,mb    ,5.3,,,
783162,ISC      ,05-06-1971,38:11.8,9.3494,92.5319,26.2,      ,ISC      ,mb    ,5.4,ISC      ,MS    ,5.2
783279,ISC      ,09-06-1971,47:49.3,6.6409,93.8264,58.3,      ,ISC      ,mb    ,5.1,,,
783507,ISC      ,16-06-1971,31:15.0,-7.0591,105.12,56,TRUE  ,ISC      ,mb    ,5,,,
783518,ISC      ,16-06-1971,44:23.5,-7.1158,109.0328,35,TRUE  ,ISC      ,mb    ,4.7,,,
783841,ISC      ,26-06-1971,27:14.6,-5.1809,96.8949,17.1,      ,ISC      ,mb    ,5.9,ISC      ,MS    ,6.3
783959,ISC      ,30-06-1971,15:07.6,4.3157,94.9678,35,TRUE  ,ISC      ,mb    ,4.7,,,
781919,ISC      ,04-07-1971,02:52.6,-5.8548,105.4236,26,TRUE  ,ISC      ,mb    ,5.4,,,
782280,ISC      ,15-07-1971,37:51.5,2.9856,99.1186,177,TRUE  ,ISC      ,mb    ,4.8,,,
782377,ISC      ,17-07-1971,32:44.8,7.0602,94.6354,144.9,      ,ISC      ,mb    ,5.8,,,
782573,ISC      ,22-07-1971,05:23.8,-8.162,107.9439,70,TRUE  ,ISC      ,mb    ,4.9,,,
781259,ISC      ,15-08-1971,32:46.6,-6.2543,103.8011,42,TRUE  ,ISC      ,mb    ,5.4,,,
781629,ISC      ,26-08-1971,06:44.2,-7.2681,106.7564,95,TRUE  ,ISC      ,mb    ,4.6,,,
780150,ISC      ,09-09-1971,21:46.5,-5.1452,103.0677,60.8,      ,ISC      ,mb    ,5.1,,,
