"","DATE","TIME","LAT","LON","DEPTH","MAG","Interevent_Count"
"90","10-04-2005","29:13.2",-1.6404,99.5516,32.6,6.4,259
"91","10-04-2005","14:19.6",-1.7644,99.6882,32.9,6.2,10
"92","10-04-2005","24:39.1",-1.5698,99.6924,32.9,6,86
"93","16-04-2005","38:03.9",1.7836,97.6849,33.4,6,220
"94","28-04-2005","07:33.7",2.1418,96.78,24.8,6,166
"95","14-05-2005","05:19.0",0.54,98.4406,43,6.4,179
"96","19-05-2005","54:52.4",1.9924,96.9943,30,6.3,44
"97","05-07-2005","52:04.1",1.81,97.0727,31.8,6.2,328
"98","24-07-2005","42:06.9",7.9754,92.1428,17.3,6.6,94
"99","11-10-2005","05:40.6",4.7922,95.0975,41.6,6,354
"100","19-11-2005","10:14.1",2.1501,96.8388,30.4,6,116
"101","13-05-2006","11:43.3",5.5367,94.4577,52,6,420
"102","16-05-2006","28:28.9",0.0861,97.0773,32.6,6.6,5
"103","17-07-2006","19:27.5",-9.3365,107.3422,26,6.1,164
"104","17-07-2006","13:09.4",-9.1127,107.781,44.4,6.1,7
"105","19-09-2006","58:57.9",-9.8946,107.3537,21.7,6.1,463
"106","19-01-2007","44:24.2",-9.986,109.6446,32.4,6,217
"107","06-03-2007","49:26.3",-0.4955,100.467,19.9,6,78
"108","27-04-2007","02:49.7",5.3712,94.6394,42.4,6.2,78
"109","12-09-2007","10:26.7",-4.4431,101.4675,24,6.8,221
"110","12-09-2007","40:06.7",-3.2488,101.4049,46.1,6,28
"111","12-09-2007","49:04.2",-2.6231,100.773,39.2,6.8,34
"112","13-09-2007","35:28.8",-2.193,99.5527,23,6.3,23
"113","13-09-2007","09:16.0",-3.2098,101.4953,48.4,6.2,34
"114","20-09-2007","31:15.5",-1.968,100.1338,29.6,6.3,111
"115","24-10-2007","02:50.7",-3.9499,100.9986,23.5,6.1,137
"116","22-11-2007","02:12.7",4.7734,95.1129,48.2,6,72
"117","25-11-2007","51:56.7",-2.8009,101.085,51.1,6,4
"118","20-02-2008","08:31.2",2.7198,96.0178,29,6.4,186
"119","24-02-2008","46:23.1",-2.3945,99.9784,31.3,6,41
"120","25-02-2008","36:33.9",-2.5196,100.0002,29,6.3,2
"121","25-02-2008","06:05.0",-2.3276,99.89,31.8,6.1,7
"122","25-02-2008","02:20.2",-2.25,99.8291,38.9,6.2,0
"123","15-04-2009","01:35.2",-3.1728,100.4341,27.8,6,711
"124","26-07-2009","10:26.5",-4.7667,102.9229,68,6,101
"125","16-08-2009","38:24.0",-1.478,99.4409,30,6.4,17
"126","16-08-2009","49:02.0",-1.4032,99.4334,39.2,6,15
"127","02-09-2009","55:02.3",-7.7109,107.4099,61.6,6.7,99
"128","30-09-2009","16:10.5",-0.6989,99.9692,91,7.1,65
"129","16-10-2009","52:52.5",-6.5279,105.2276,54.2,6,43
"130","23-12-2009","11:58.9",-1.3942,99.452,25.6,6,108
"131","06-04-2010","15:02.2",2.3805,97.1217,33.6,6.7,143
"132","09-05-2010","59:42.2",3.6937,96.0447,41.4,6.6,80
